Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.), Dry Mass (kg.) ,Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
Iridium Next 134,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,610,626,0.001145,86.7,97,860,678,50.00,23/12/2017,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2017-083F,43075
Iridium Next 135,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,610,626,0.001145,86.7,97,860,678,50.00,23/12/2017,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2017-083A,43070
Iridium Next 136,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,609,626,0.001216,86.6,97,860,678,50.00,09/10/2017,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2017-061H,42962
Iridium Next 137,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,609,626,0.001216,86.7,97,860,678,50.00,23/12/2017,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2017-083G,43076
Iridium Next 138,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,609,626,0.001216,86.7,97,860,678,50.00,23/12/2017,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2017-083B,43071
Iridium Next 139,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,609,626,0.001216,86.6,97,860,678,50.00,09/10/2017,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2017-061J,42963
Iridium Next 140,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,607,626,0.001360,86.6,97,860,678,50.00,30/03/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-030D,43252
Iridium Next 141,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,609,625,0.001145,86.7,97,860,678,50.00,23/12/2017,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2017-083H,43077
Iridium  Next 142,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,626,0.001288,86.6,97,860,678,50.00,30/03/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-030H,43256
Iridium Next 143,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,626,0.001288,86.6,97,860,678,50.00,30/03/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-030K,43258
Iridium Next 144,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,606,625,0.001360,86.6,97,860,678,50.00,30/03/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-030A,43249
Iridium Next 145,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,607,626,0.001360,86.6,97,860,678,50.00,30/03/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-030E,43253
Iridium Next 146,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,627,0.001360,86.6,97,860,678,50.00,30/03/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-030F,43254
Iridium Next 147,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,489,714,0.016137,86.7,96.7,860,678,50.00,22/05/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-047E,43480
Iriidium Next 148,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,606,625,0.001360,86.6,97,860,678,50.00,30/03/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-030G,43255
Iridium Next 149,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,626,0.001288,86.6,97,860,678,50.00,30/03/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-030B,43250
Iridium Next 150,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,606,626,0.001431,86.6,97,860,678,50.00,30/03/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-030J,43257
Iridium Next 151,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,609,625,0.001145,86.7,97,860,678,50.00,23/12/2017,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2017-083E,43074
Iridium Next 152,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,493,710,0.015563,86.7,96.7,860,678,50.00,22/05/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-047D,43479
Iridium Next 153,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,609,625,0.001145,86.7,97,860,678,50.00,23/12/2017,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2017-083J,43078
Iridium Next 154,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,622,0.001002,86.6,97,860,678,50.00,25/07/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-061F,43574
Iridium Next 155,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,622,0.001002,86.6,97,860,678,50.00,25/07/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-061E,43573
Iridium Next 156,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,607,623,0.001145,86.6,97,860,678,50.00,25/07/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-061H,43576
Iridium Next 157,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,607,626,0.001360,86.6,97,860,678,50.00,30/03/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-030C,43251
Iridium Next 158,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,609,623,0.001002,86.6,97,860,678,50.00,25/07/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-061C,43571
Iridum Next 159,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,607,622,0.001074,86.6,97,860,678,50.00,25/07/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-061K,43578
Iridium Next 160,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,609,624,0.001073,86.6,97,860,678,50.00,25/07/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-061A,43569
Iridium Next 161,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,489,714,0.016137,86.7,96.7,860,678,50.00,22/05/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-047C,43478
Iridium Next 162,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,491,715,0.016062,86.7,96.7,860,678,50.00,22/05/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-047G,43482
Iridium Next 163,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,607,623,0.001145,86.6,97,860,678,50.00,25/07/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-061G,43575
Iridium Next 164,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,607,623,0.001145,86.6,97,860,678,50.00,25/07/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-061J,43577
Iridium Next 165,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,609,623,0.001002,86.6,97,860,678,50.00,25/07/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-061D,43572
Iridium Next 166,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,609,623,0.001002,86.6,97,860,678,50.00,25/07/2018,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2018-061B,43570
Iridium Next 167,NR,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,612,625,0.000930,86.7,97,860,678,50.00,11/01/2019,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2019-002K,43931
Iridium Next 168,NR,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,626,0.001288,86.7,97,860,678,50.00,11/01/2019,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2019-002C,43924
Iridium Next 169,NR,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,609,626,0.001216,86.7,97,860,678,50.00,11/01/2019,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2019-002E,43926
Iridium Next 170,NR,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,610,626,0.001145,86.7,97,860,678,50.00,11/01/2019,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2019-002J,43930
Iridium Next 171,NR,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,609,626,0.001216,86.7,97,860,678,50.00,11/01/2019,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2019-002H,43929
Iridium Next 172,NR,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,626,0.001288,86.7,97,860,678,50.00,11/01/2019,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2019-002F,43927
Iridium Next 173,NR,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,626,0.001288,86.7,97,860,678,50.00,11/01/2019,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2019-002D,43925
Iridium Next 175,NR,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,611,625,0.001002,86.7,97,860,678,50.00,11/01/2019,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2019-002G,43928
Iridium Next 176,NR,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,611,626,0.001073,86.7,97,860,678,50.00,11/01/2019,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2019-002B,43923
Iridium Next 180,NR,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,611,626,0.001073,86.7,97,860,678,50.00,11/01/2019,15,Thales Alenia Space/Orbital ATK,France/Italy,Vandenberg AFB,Falcon 9,2019-002A,43922
IRIS,USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,LEO,Sun-Synchronous,0,620,664,0.003137,97.9,97.5,236,678,50.00,28/06/2013,2,Lockheed Martin Space Systems Advanced Technology Center (ATC),USA,Vandenberg AFB,L1011,2013-033A,39197
IRIS-C,NR (9/23),Taiwan,National Center for Atmospheric Research (NCKU),Government,Space Science,,LEO,Sun-Synchronous,0,488,509,0.001529,97.4,95,3,3,,15/04/2023,,National Center for Atmospheric Research (NCKU),Taiwan,Vandenberg AFB,Falcon 9,2023-054AV,56221
IRNSS-1A,India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,55,35712,35872,0.001897,27.1,1436,1425,614,1660.00,01/07/2013,12,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2013-034A,39199
IRNSS-1B,India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,55,35695,35880,0.002194,30.97,1436.14,1432,615,1660.00,04/04/2014,12,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2014-017A,39635
IRNSS-1C,NR,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,83,35690,35871,0.002147,4.96,1435.8,1425,598,1660.00,15/10/2014,12,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2014-061A,40269
IRNSS-1D,NR,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,111.7,35699,35834,0.001602,30.04,1435.06,1425,598,1600.00,30/03/2015,12,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-C27,2015-018A,40547
IRNSS-1E,NR,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,111.7,35695,35874,0.002123,28.09,1436.01,1425,598,1600.00,20/01/2016,12,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2016-003A,41241
IRNSS-1F,India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,32.5,35700,35874,0.002064,5.09,1436.13,1425,598,1600.00,10/03/2016,12,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2016-015A,41384
IRNSS-1G,India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,129.5,35774,35797,0.000273,5.06,1436.05,1425,598,1600.00,28/04/2016,12,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2016-027A,41469
IRNSS-1I,India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,55,35702,35872,0.002016,28.5,1436.1,1425,598,1600.00,11/04/2018,10,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2018-035A,43286
IRS-P6,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,817,823,0.000417,98.8,101.3,1360,,1200.00,17/10/2003,5,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV C5,2003-046A,28051
ISARA,USA,USA,NASA Small Satellite Technology Program,Government,Technology Development,,LEO,Non-Polar Inclined,0,421,423,0.000147,51.6,93,5,,,07/12/2017,,NASA Small Satellite Technology Program,USA,Cygnus,Nanorack Deployer,2017-071P,43050
iSat,Germany,Czech Republic,iSky Technology,Commercial,Communications,ADS-B Receiver,LEO,Sun-Synchronous,0,571,586,0.001079,97.7,96.2,4,,,27/12/2018,,German Orbital Systems,Germany,Vostochny Cosmodrome,Soyuz-2.1a,2018-111D,43879
ISX,NR,USA,NASA/CalPoly,Government/Civil,Space Science,,LEO,Polar,0,489,510,0.001528,85.03,94.6,4,,,16/12/2018,,SRI International/CalPoly,USA,Rocket Lab Launch Complex 1,Electron,2018-104H,43856
It's About Time,USA,USA,"TrustPoint, Inc.",Commercial,Technology Development,,LEO,Sun-Synchronous,0,491,502,0.000801,97.4,94.4,4,4,,15/04/2023,,TrustPoint Inc.,USA,Vandenberg AFB,Falcon 9,2023-054M,56189
ITU-pSAT1,NR,Turkey,ITU Space Systems Design & Test Laboratory,Civil,Technology Development,,LEO,Sun-Synchronous,0,710,721,0.000776,98.4,99.1,1,,,23/09/2009,1,ITU Space Systems Design & Test Laboratory,Turkey,Satish Dhawan Space Centre,PSLV,2009-051E,35935
IXPE,NR (1/22),USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,LEO,,0,588,603,0.001077,0.23,,330,,,09/12/2021,,Ball Aerospace,USA,Cape Canaveral,Falcon 9,2021-121A,49954
JAISAT-1,NR,Thailand,Radio Amateur Society of Thailand (RAST),Civil,Communications,,LEO,Sun-Synchronous,0,514,547,0.002391,97.5,95.2,1,,,05/07/2019,,German Orbital Systems,Germany,Vostochny Cosmodrome,Soyuz-2.1b,2019-038F,44419
Jason 3,USA,USA/France,National Aeronautics and Space Administration (NASA)/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0,1301,1324,0.001497,66,111.8,553,510,500.00,17/01/2016,5,Thales Alenia Space,France,Vandenberg AFB,Falcon 9,2016-002A,41240
JCSat 10,Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,127.51,35772,35801,0.000344,1.19,1436.1,4400,1858,,11/08/2006,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5,2006-033A,29272
JCSat 13,Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,124,35780,35791,0.000130,0.05,1436.03,4500,,,15/05/2012,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2012-023A,38331
JCSat 14,Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,154,35861,35924,0.000745,0.02,1441.5,4500,,,06/05/2016,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2016-028A,41471
JCSat 15,Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,110,35721,35774,0.000629,0,1434.1,3400,,,21/12/2016,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2016-082A,41903
JCSat 16,Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,162,35786,35801,0.000178,0,1436.01,4500,,,14/08/2016,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2016-050A,41729
JCSat 17,Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,136,35773,35800,0.000320,6.97,1436.11,5857,,,18/02/2020,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5,2020-013A,45245
JCSat18/Kacific 1,Japan,Japan/Singapore,Sky Perfect JSAT Corporation/Kacific,Commercial,Communications,,GEO,,150,35779,35800,0.000249,0.08,1436.2,6956,,,17/12/2019,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2019-091A,44868
JCSat 2A,Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,154,35788,35794,0.000071,0.01,1436.1,2500,1460,3500.00,29/03/2002,11,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015A,27399
JCSat 9,Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,132.04,35776,35797,0.000249,0.01,1436.1,4400,,,12/04/2006,12,Lockheed Martin Commercial Space Systems,USA,Sea Launch Odyssey,Zenit 3SL,2006-010A,29045
JCSat RA,Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,142.49,35780,35794,0.000166,0.04,1436.12,4000,,,21/08/2009,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5,2009-044A,35755
Jiading-1,China,China,Space OK (Shanghai Ok Space Co Ltd.),Commercial,Communications,Internet of Things (IoT),LEO,Sun-Synchronous,0,489,504,0.001092,97.4,97.3,45,,,19/11/2018,,Shanghai Ok Space Co Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2018-094D,43713
Jilin-1,NR,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,555,575,0.001442,45,96,42,,,05/06/2019,,Chang Guang Satellite Technology Co. Ltd.,China,Yellow Sea Launch Platform,Long March 11,2019-032A,44310
Jilin-1,NR,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging (video),LEO,Sun-Synchronous,0,639,664,0.001780,98.04,97.75,95,,,07/10/2015,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057B,40959
Jilin-1,NR,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging (video),LEO,Sun-Synchronous,0,639,663,0.001709,98.04,97.74,95,,,07/10/2015,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057C,40960
Jilin-1 GaoFen 02A,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Multispectral Imaging,LEO,Sun-Synchronous,0,537,554,0.001229,97.5,95.4,95,,,13/11/2019,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Kuaizhou 1A,2019-075A,44777
Jilin-1 GaoFen 02B,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,537,553,0.001157,97.5,95.4,95,,,07/12/2019,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Kuaizhou 1A,2019-086A,44836
Jilin-1 GaoFen 02D ,NR (1/22),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,531,545,0.001013,97.5,95.4,230,,,27/09/2021,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Kuaizhou 1A,2021-086A,49256
Jilin 1 GaoFen 02F,NR (1/22),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,532,546,0.001013,97.5,95.4,230,,,27/10/2021,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Kuaizhou 1A,2021-097A,49338
Jilin-1 GaoFen 03B-01 ,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,531,547,0.001158,97.5,94.5,40,,,14/09/2020,,Chang Guang Satellite Technology Co. Ltd.,China,Yellow Sea Launch Platform,Long March 11,2020-065A,46454
Jilin-1 GaoFen 03B-02 ,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,530,546,0.001158,97.5,94.5,40,,,14/09/2020,,Chang Guang Satellite Technology Co. Ltd.,China,Yellow Sea Launch Platform,Long March 11,2020-065B,46455
Jilin-1 GaoFen 03B-03 ,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,530,546,0.001158,97.5,94.5,40,,,14/09/2020,,Chang Guang Satellite Technology Co. Ltd.,China,Yellow Sea Launch Platform,Long March 11,2020-065C,46456
Jilin-1 GaoFen 03B-04 ,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,530,545,0.001086,97.5,94.5,40,,,14/09/2020,,Chang Guang Satellite Technology Co. Ltd.,China,Yellow Sea Launch Platform,Long March 11,2020-065D,46457
Jilin-1 GaoFen 03B-05 ,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,529,546,0.001231,97.5,94.5,40,,,14/09/2020,,Chang Guang Satellite Technology Co. Ltd.,China,Yellow Sea Launch Platform,Long March 11,2020-065E,46458
Jilin-1 GaoFen 03B-06 ,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,529,546,0.001231,97.5,94.5,40,,,14/09/2020,,Chang Guang Satellite Technology Co. Ltd.,China,Yellow Sea Launch Platform,Long March 11,2020-065F,46459
Jilin-1 GaoFen 03C-01 ,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Video Imaging,LEO,Sun-Synchronous,0,528,546,0.001303,97.5,94.5,40,,,14/09/2020,,Chang Guang Satellite Technology Co. Ltd.,China,Yellow Sea Launch Platform,Long March 11,2020-065G,46460
Jilin-1 GaoFen 03C-02 ,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Video Imaging,LEO,Sun-Synchronous,0,528,546,0.001303,97.5,94.5,40,,,14/09/2020,,Chang Guang Satellite Technology Co. Ltd.,China,Yellow Sea Launch Platform,Long March 11,2020-065H,46461
Jilin-1 GaoFen 03C-03 ,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Video Imaging,LEO,Sun-Synchronous,0,528,546,0.001303,97.5,94.5,40,,,14/09/2020,,Chang Guang Satellite Technology Co. Ltd.,China,Yellow Sea Launch Platform,Long March 11,2020-065J,46462
Jilin-1 GaoFen 03D 10,NR (4/22),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,524,549,0.001810,97.5,94.5,43,,,27/02/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Wenchang Space Center,Long March 8,2022-019K,51833
Jilin-1 GaoFen 03D 11,NR (4/22),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,526,548,0.001593,97.5,94.5,43,,,27/02/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Wenchang Space Center,Long March 8,2022-019L,51834
Jilin-1 GaoFen 03D 12,NR (4/22),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,526,548,0.001593,97.5,94.5,43,,,27/02/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Wenchang Space Center,Long March 8,2022-019M,51835
Jilin-1 GaoFen 03D 13,NR (4/22),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,526,548,0.001593,97.5,94.5,43,,,27/02/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Wenchang Space Center,Long March 8,2022-019N,51836
Jilin-1 GaoFen 03D 14,NR (4/22),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,521,547,0.001883,97.5,94.5,43,,,27/02/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Wenchang Space Center,Long March 8,2022-019P,51837
Jilin-1 GaoFen 03D 15,NR (4/22),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,526,547,0.001520,97.5,94.5,43,,,27/02/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Wenchang Space Center,Long March 8,2022-019Q,51838
Jilin-1 GaoFen 03D 16 ,NR (4/22),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,527,547,0.001448,97.5,94.5,43,,,27/02/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Wenchang Space Center,Long March 8,2022-019R,51839
Jilin-1 GaoFen 03D 17,NR (4/22),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,526,546,0.001448,97.5,94.5,43,,,27/02/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Wenchang Space Center,Long March 8,2022-019S,51840
