Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.), Dry Mass (kg.) ,Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
Starlink-1723,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062J,46333
Starlink-1724,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062BC,46375
Starlink-1725,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062K,46334
Starlink-1726 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062AP,46362
Starlink-1727,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062L,46335
Starlink-1728 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070BC,46582
Starlink-1729 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070BD,46583
Starlink-1730 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070AH,46563
Starlink-1732 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070BE,46584
Starlink-1733 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070AJ,46564
Starlink-1734,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062A,46325
Starlink-1735 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070AK,46565
Starlink-1736 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070BF,46585
Starlink-1737 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070BG,46586
Starlink-1738 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062M,46336
Starlink-1739,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062AQ,46363
Starlink-1740 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070AL,46566
Starlink-1741 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070AM,46567
Starlink-1742,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062BD,46376
Starlink-1746 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070BJ,46588
